cust_id,first_name,last_name,gender,email,product_id,product_name,product_category,product_price,quantity_sold,purchase_date,payment_method,shipping_address,delivery_period,total_price
C105,Priya,Nair,Female,aoby0@clickbank.net,P050,Dashboard Phone Mount,Automotive,,16,5/9/2021,Apple Pay,503 Monument Park,8,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C101,Alice,Johnson,Female,dgarrod1@intel.com,P024,Almond Butter,Grocery,27.09,20,2/19/2021,cash,3460 Manitowish Court,4,541.8
C112,Ethan,Wong,Male,gscurman2@apple.com,P027,Wireless Mouse,Office Supplies,34.54,7,4/1/2021,Apple Pay,4354 Portage Parkway,5,241.78
C113,Aisha,Desai,Female,jdrain3@mit.edu,P045,,Grocery,34.1,18,5/30/2021,Apple Pay,2676 West Alley,8,613.8
,Aisha,Desai,Female,kbryer4@tripod.com,P004,Electric Kettle,Home & Kitchen,80.3,19,3/1/2021,cash,9 Esch Lane,6,1525.7
C106,David,,Male,astonbridge5@comsenz.com,P011,"""Atomic Habits""",Books,21.6,4,,Apple Pay,988 Bluestem Terrace,6,86.4
C111,Sara,Mehta,Female,esergent6@upenn.edu,P016,Yoga Mat,Sports & Outdoors,46.2,9,5/17/2021,Apple Pay,97241 Ilene Road,8,415.8
C112,Ethan,Wong,Male,bjandera7@hubpages.com,P030,Steering Wheel Cover,Automotive,70.73,15,2/6/2021,cash,1843 Lakewood Crossing,6,1060.95
C114,Noah,,Male,dtreece8@ow.ly,P045,Breakfast Cereal,,,12,2/23/2021,Apple Pay,10349 6th Center,5,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C111,,Mehta,Female,dkedge9@independent.co.uk,P044,Pasta Sauce,Grocery,80.45,22,4/14/2021,cash,9 Roxbury Plaza,8,1769.9
C105,Priya,Nair,Female,,P049,USB Car Charger,Automotive,7.8,15,5/13/2021,COD,92961 Porter Center,7,117.0
C112,Ethan,Wong,Male,,P036,"""Can't Hurt Me""",Books,89.56,13,6/10/2021,COD,5459 Maple Wood Pass,4,1164.28
C111,Sara,,Female,kabbatuccic@cargocollective.com,P021,Hair Dryer,Health & Personal Care,84.52,6,5/20/2021,COD,1822 Petterle Court,8,507.12
C101,Alice,Johnson,Female,druskd@dot.gov,P034,Maxi Dress,,76.9,21,5/26/2021,COD,2 Bartelt Court,7,1614.9
C114,Noah,Shah,Male,fjackwayse@wiley.com,P002,Smartwatch,Electronics,58.97,15,2/7/2021,PayPal,3 Jenifer Alley,4,884.55
C105,Priya,Nair,Female,fbrunstanf@discovery.com,P014,Lego Creator Set,Toys & Games,41.52,12,5/27/2021,PayPal,3730 Nancy Road,5,498.24
C111,Sara,Mehta,Female,rbofieldg@economist.com,P011,"""Atomic Habits""",Books,97.72,16,4/2/2021,Apple Pay,,8,1563.52
C103,Emma,Chen,Female,cwipflerh@walmart.com,P041,Protein Shake Bottle,Sports & Outdoors,19.16,14,3/5/2021,COD,6 Gateway Street,7,268.24
C112,Ethan,Wong,Male,clabusquierei@reverbnation.com,P026,Ballpoint Pens,Office Supplies,97.68,20,6/29/2021,COD,90 Northfield Street,5,
C112,Ethan,Wong,Male,ncajklerj@edublogs.org,P003,Bluetooth Speaker,Electronics,62.61,25,4/20/2021,PayPal,09 Pine View Way,5,1565.25
C102,Raj,Patel,,tbunhillk@cmu.edu,P016,Yoga Mat,Sports & Outdoors,29.78,14,2/17/2021,PayPal,90815 Swallow Point,6,
C115,Isabella,,Female,jiblel@naver.com,P024,Almond Butter,Grocery,58.7,4,6/2/2021,cash,9 Johnson Junction,7,234.8
C104,Omar,Ali,Male,glenoirm@flickr.com,P048,Car Air Freshener,Automotive,15.04,22,2/16/2021,PayPal,831 Sullivan Way,6,330.88
C107,Sophia,Singh,Female,lsancton@ed.gov,P030,Steering Wheel Cover,Automotive,46.76,18,3/15/2021,Credit Card,65440 Rigney Park,7,841.68
C111,Sara,Mehta,Female,ppinocko@slate.com,P033,Coffee Mug Set,Home & Kitchen,24.25,4,6/21/2021,COD,744 Texas Alley,5,97.0
C114,Noah,,,nmatasp@is.gd,P004,Electric Kettle,Home & Kitchen,55.57,4,3/16/2021,PayPal,543 Oriole Plaza,4,222.28
C101,Alice,Johnson,Female,htilneq@facebook.com,P013,Board Game: Codenames,Toys & Games,80.03,20,1/27/2021,Apple Pay,398 Oriole Drive,6,1600.6
C113,Aisha,Desai,Female,eleylandr@twitter.com,P044,,Grocery,,6,6/17/2021,COD,012 Melvin Circle,6,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C113,Aisha,Desai,Female,isinnockes@discovery.com,P005,,Home & Kitchen,89.51,12,2/5/2021,COD,45308 Esker Circle,8,1074.12
C107,Sophia,Singh,Female,aferrollit@squarespace.com,P048,Car Air Freshener,Automotive,80.48,16,2/5/2021,COD,2 Shoshone Plaza,5,1287.68
C110,Liam,Thompson,Male,hcoatu@google.ca,P023,Chocolate Chip Cookies,Grocery,33.54,5,1/27/2021,PayPal,158 Ridgeview Junction,6,167.7
C110,Liam,Thompson,Male,bwreffordv@yahoo.com,P041,Protein Shake Bottle,Sports & Outdoors,97.69,4,5/3/2021,cash,13 Judy Street,7,390.76
C115,Isabella,Das,Female,tzoppiew@princeton.edu,P028,Car Vacuum Cleaner,Automotive,34.28,5,2/16/2021,Credit Card,16 Sunnyside Way,4,171.4
C108,Arjun,Verma,Male,dyushinx@i2i.jp,P025,Notebook (5-pack),Office Supplies,88.37,20,6/1/2021,cash,436 Farragut Road,5,1767.4
C107,Sophia,Singh,Female,krichensy@cbsnews.com,P007,Men's Running Shoes,Clothing,20.34,,6/28/2021,Apple Pay,5 Fremont Road,7,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C105,Priya,Nair,Female,blarensonz@stumbleupon.com,P038,,Toys & Games,44.28,25,2/7/2021,cash,3 Tennyson Pass,5,1107.0
C108,Arjun,Verma,Male,lfarquhar10@ucoz.com,P006,Vacuum Cleaner,Home & Kitchen,,8,1/1/2021,PayPal,66445 Dorton Terrace,6,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C109,Maya,Rodriguez,Female,thardison11@opensource.org,P046,Sticky Notes (3x3),Office Supplies,,19,4/22/2021,Apple Pay,93 Raven Court,6,
C106,David,Kim,Male,bchrismas12@cbc.ca,P015,Plush Teddy Bear,Toys & Games,22.01,13,3/20/2021,Credit Card,7 Monica Plaza,4,286.13
C104,Omar,Ali,Male,gpoulden13@plala.or.jp,P006,,Home & Kitchen,86.25,5,4/10/2021,Credit Card,82408 Clemons Lane,5,431.25
C106,David,Kim,Male,sspadeck14@xrea.com,P043,Vitamin C Gummies,Health & Personal Care,12.17,,2/27/2021,Credit Card,461 Dottie Pass,8,error: Could not access blank value: Use || to provide a default value for blank fields.  Example: (my_field || 0) + 1
C105,,Nair,Female,cwoodwin15@google.pl,P033,Coffee Mug Set,Home & Kitchen,84.67,22,5/5/2021,COD,16879 Oakridge Lane,6,1862.74
C102,Raj,Patel,Male,sashborn16@oracle.com,P010,"""The Alchemist""",,6.23,11,3/9/2021,Credit Card,98547 West Way,4,68.53
C103,Emma,Chen,Female,cbanat17@list-manage.com,P010,"""The Alchemist""",Books,46.34,18,2/16/2021,cash,5 Continental Drive,5,834.12
C106,David,Kim,Male,dfellos18@home.pl,P008,,Clothing,41.71,8,3/16/2021,COD,0962 Union Hill,6,333.68
C111,Sara,Mehta,,tcaukill19@artisteer.com,P040,Resistance Bands,Sports & Outdoors,25.01,21,2/13/2021,COD,026 Russell Park,5,525.21
C115,Isabella,Das,Female,cblewmen1a@bloglovin.com,P001,Wireless Earbuds,Electronics,28.27,12,5/13/2021,COD,1 Novick Alley,7,339.24
C106,David,Kim,Male,ufretwell1b@microsoft.com,,,,15.44,2,4/29/2021,COD,707 Westport Parkway,4,30.88
C104,Omar,Ali,Male,rjonin1c@yolasite.com,P043,Vitamin C Gummies,,52.22,12,1/4/2021,PayPal,0662 Oak Drive,5,626.64
C107,Sophia,Singh,Female,mpfeffle1d@thetimes.co.uk,P038,Rubik’s Cube,,84.67,16,4/20/2021,Apple Pay,3 Hanson Street,,1354.72
C115,Isabella,Das,Female,cgodly1e@opensource.org,P018,Running Shorts,,92.77,9,2/4/2021,COD,674 Clove Parkway,7,834.93
C107,Sophia,Singh,Female,ktenniswood1f@illinois.edu,P003,Bluetooth Speaker,Electronics,51.25,17,4/25/2021,Credit Card,31899 Manufacturers Court,4,871.25
C110,Liam,Thompson,Male,cpawelek1g@histats.com,P045,,Grocery,81.63,7,5/8/2021,Credit Card,03 Thackeray Hill,6,571.41
C103,Emma,Chen,Female,fradbourne1h@mail.ru,P030,Steering Wheel Cover,Automotive,38.45,2,1/5/2021,PayPal,4 Independence Pass,4,76.9
C113,Aisha,Desai,Female,oguillou1i@posterous.com,P005,Nonstick Frying Pan,Home & Kitchen,9.64,25,2/15/2021,Credit Card,71 Bobwhite Plaza,4,241.0
C114,Noah,Shah,,wfilipyev1j@wikispaces.com,P043,Vitamin C Gummies,Health & Personal Care,61.07,3,4/22/2021,cash,192 Clarendon Road,7,183.21
C108,Arjun,Verma,,dmoney1k@amazon.co.uk,P025,Notebook (5-pack),Office Supplies,21.08,15,1/7/2021,COD,1609 Reindahl Park,8,316.2
C103,Emma,Chen,Female,edeclerq1l@un.org,P044,Pasta Sauce,Grocery,64.98,6,1/13/2021,COD,03909 Heffernan Lane,4,389.88
C112,Ethan,Wong,Male,sshreeve1m@cloudflare.com,P035,Winter Scarf,Clothing,76.0,4,1/12/2021,Credit Card,3 Rockefeller Lane,6,304.0
,Liam,Thompson,Male,btubbs1n@zdnet.com,P041,Protein Shake Bottle,Sports & Outdoors,6.87,9,4/5/2021,PayPal,433 Vernon Crossing,6,61.83
C113,Aisha,Desai,Female,lmains1o@creativecommons.org,P035,Winter Scarf,Clothing,46.58,21,6/27/2021,Credit Card,3935 Tennessee Road,5,978.18
C112,Ethan,Wong,Male,,P005,Nonstick Frying Pan,Home & Kitchen,61.07,6,4/15/2021,COD,3 Debs Circle,8,366.42
C103,Emma,Chen,Female,rkintzel1q@wufoo.com,P040,Resistance Bands,Sports & Outdoors,5.23,14,5/18/2021,PayPal,9405 Schurz Drive,,73.22
C108,Arjun,Verma,Male,cnolleth1r@state.gov,P003,Bluetooth Speaker,Electronics,63.54,24,4/13/2021,Credit Card,0 Trailsway Trail,8,1524.96
C102,Raj,Patel,Male,dtessier1s@ifeng.com,P035,Winter Scarf,Clothing,14.62,11,2/14/2021,Credit Card,5421 Bunker Hill Circle,7,160.82
C113,Aisha,Desai,Female,ltrime1t@foxnews.com,P041,Protein Shake Bottle,Sports & Outdoors,90.49,24,3/25/2021,Credit Card,1542 Mosinee Drive,6,2171.76
C113,Aisha,Desai,Female,jcrosio1u@adobe.com,P045,Breakfast Cereal,Grocery,83.28,21,,PayPal,390 Portage Place,4,1748.88
